Date,Age groups,Received 2 or 3 doses (Single Day),Received 1 dose (Single Day),Unvaccinated (Single Day),Total (Single Day)
23/3/2022,30 to 39,0,0,1,1
23/3/2022,40 to 49,0,0,0,0
23/3/2022,50 to 59,3,0,1,4
23/3/2022,60 to 69,3,3,9,15
23/3/2022,70 to 79,5,12,23,40
23/3/2022,80+,16,38,90,144
24/3/2022,<3,0,0,0,0
24/3/2022,3 to 11,0,0,0,0
24/3/2022,12 to 19,0,0,0,0
24/3/2022,20 to 29,1,0,0,1
24/3/2022,30 to 39,0,0,0,0
24/3/2022,40 to 49,1,0,1,2
24/3/2022,50 to 59,1,0,3,4
24/3/2022,60 to 69,3,6,14,23
24/3/2022,70 to 79,2,9,17,28
24/3/2022,80+,7,32,104,143
25/3/2022,<3,0,0,0,0
25/3/2022,3 to 11,0,0,0,0
25/3/2022,12 to 19,0,0,0,0
25/3/2022,20 to 29,0,0,1,1
25/3/2022,30 to 39,0,0,0,0
25/3/2022,40 to 49,0,0,0,0
25/3/2022,50 to 59,1,1,1,3
25/3/2022,60 to 69,3,3,6,12
25/3/2022,70 to 79,3,12,16,31
25/3/2022,80+,17,36,92,145
26/3/2022,<3,0,0,0,0
26/3/2022,3 to 11,0,0,1,1
26/3/2022,12 to 19,0,0,0,0
26/3/2022,20 to 29,0,0,0,0
26/3/2022,30 to 39,0,1,1,2
26/3/2022,40 to 49,0,0,0,0
26/3/2022,50 to 59,1,1,1,3
26/3/2022,60 to 69,4,4,11,19
26/3/2022,70 to 79,4,5,11,20
26/3/2022,80+,5,22,67,94
27/3/2022,<3,0,0,0,0
27/3/2022,3 to 11,0,0,0,0
27/3/2022,12 to 19,0,0,0,0
27/3/2022,20 to 29,0,0,0,0
27/3/2022,30 to 39,0,0,1,1
27/3/2022,40 to 49,0,0,0,0
27/3/2022,50 to 59,0,0,3,3
27/3/2022,60 to 69,1,2,5,8
27/3/2022,70 to 79,5,8,14,27
27/3/2022,80+,8,36,70,114
28/3/2022,<3,0,0,0,0
28/3/2022,3 to 11,0,0,0,0
28/3/2022,12 to 19,0,0,0,0
28/3/2022,20 to 29,0,0,0,0
28/3/2022,30 to 39,0,0,0,0
28/3/2022,40 to 49,0,0,0,0
28/3/2022,50 to 59,4,0,4,8
28/3/2022,60 to 69,2,3,9,14
28/3/2022,70 to 79,6,5,21,32
28/3/2022,80+,13,38,62,113
29/3/2022,<3,0,0,0,0
29/3/2022,3 to 11,0,0,0,0
29/3/2022,12 to 19,0,0,0,0
29/3/2022,20 to 29,0,0,0,0
29/3/2022,30 to 39,0,0,0,0
29/3/2022,40 to 49,3,0,-1,2
29/3/2022,50 to 59,1,0,2,3
29/3/2022,60 to 69,3,0,6,9
29/3/2022,70 to 79,3,6,23,32
29/3/2022,80+,13,32,60,105
30/3/2022,<3,0,0,0,0
30/3/2022,3 to 11,0,0,0,0
30/3/2022,12 to 19,0,0,0,0
30/3/2022,20 to 29,0,0,0,0
30/3/2022,30 to 39,0,0,0,0
30/3/2022,40 to 49,3,0,0,3
30/3/2022,50 to 59,0,1,1,2
30/3/2022,60 to 69,3,2,5,10
30/3/2022,70 to 79,5,3,7,15
30/3/2022,80+,12,33,61,106
31/3/2022,<3,0,0,0,0
31/3/2022,3 to 11,0,0,0,0
31/3/2022,12 to 19,0,0,0,0
31/3/2022,20 to 29,0,0,0,0
31/3/2022,30 to 39,0,0,0,0
31/3/2022,40 to 49,0,0,0,0
31/3/2022,50 to 59,1,1,1,3
31/3/2022,60 to 69,1,2,4,7
31/3/2022,70 to 79,2,4,12,18
31/3/2022,80+,7,22,63,92
